Reference	Value (lower bound)	Value	Value (upper bound)	Tolerance (lower bound)	Tolerance (upper bound)	rel. tol?	Footprint	Datasheets	Digi-Key Part Number	Manufacturer Part Number	Manufacturer	Current (A)	Q	DC Resistance (ohm)	Tolerance	Core Material	Price												
L	4.800000e-009	5.100000e-009	5.400000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9469-1-ND	MLG0402Q5N1ST000	TDK Corporation	1.600000e-001	2 @ 100MHz	1.400000e+000	±0.3nH	-	0.28000												
L	5.300000e-009	5.600000e-009	5.900000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9470-1-ND	MLG0402Q5N6ST000	TDK Corporation	1.400000e-001	2 @ 100MHz	1.500000e+000	±0.3nH	-	0.28000												
L	6.460000e-009	6.800000e-009	7.140000e-009	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9472-1-ND	MLG0402Q6N8JT000	TDK Corporation	1.400000e-001	2 @ 100MHz	1.600000e+000	±5%	-	0.28000												
L	7.125000e-009	7.500000e-009	7.875000e-009	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9473-1-ND	MLG0402Q7N5JT000	TDK Corporation	1.400000e-001	2 @ 100MHz	1.700000e+000	±5%	-	0.28000												
L	7.790000e-009	8.200000e-009	8.610000e-009	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9474-1-ND	MLG0402Q8N2JT000	TDK Corporation	1.400000e-001	2 @ 100MHz	1.800000e+000	±5%	-	0.28000												
L	8.645000e-009	9.100000e-009	9.555000e-009	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9475-1-ND	MLG0402Q9N1JT000	TDK Corporation	1.400000e-001	2 @ 100MHz	1.800000e+000	±5%	-	0.28000												
L	9.500000e-009	1.000000e-008	1.050000e-008	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9476-1-ND	MLG0402Q10NJT000	TDK Corporation	1.400000e-001	3 @ 100MHz	2.100000e+000	±5%	-	0.28000												
L	1.140000e-008	1.200000e-008	1.260000e-008	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9477-1-ND	MLG0402Q12NJT000	TDK Corporation	1.400000e-001	3 @ 100MHz	2.400000e+000	±5%	-	0.28000												
L	1.425000e-008	1.500000e-008	1.575000e-008	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9478-1-ND	MLG0402Q15NJT000	TDK Corporation	1.400000e-001	3 @ 100MHz	2.600000e+000	±5%	-	0.28000												
L	2.090000e-008	2.200000e-008	2.310000e-008	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9480-1-ND	MLG0402Q22NJT000	TDK Corporation	1.300000e-001	3 @ 100MHz	3.200000e+000	±5%	-	0.28000												
L	2.565000e-008	2.700000e-008	2.835000e-008	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9481-1-ND	MLG0402Q27NJT000	TDK Corporation	1.200000e-001	3 @ 100MHz	3.500000e+000	±5%	-	0.28000												
L	1.710000e-008	1.800000e-008	1.890000e-008	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9479-1-ND	MLG0402Q18NJT000	TDK Corporation	1.400000e-001	3 @ 100MHz	2.800000e+000	±5%	-	0.28000												
L	4.400000e-009	4.700000e-009	5.000000e-009	-3.000000e-010	3.000000e-010	0	0201 (0603 Metric)	http://www.tdk.co.jp/tefe02/e521_mlk.pdf	445-1578-1-ND	MLK0603L4N7ST000	TDK Corporation	2.000000e-001	6 @ 300MHz	5.000000e-001	±0.3nH	Ceramic	0.08000												
